(1,197185)
(2,103583)
(3,70686)
(4,52810)
(5,41501)
(6,33744)
(7,28008)
(8,23867)
(9,20083)
(10,17512)
(11,15216)
(12,13647)
(13,12080)
(14,10551)
(15,9530)
(16,8551)
(17,7740)
(18,7152)
(19,6405)
(20,5849)
(21,5423)
(22,4962)
(23,4492)
(24,4348)
(25,3868)
(26,3601)
(27,3398)
(28,3098)
(29,2885)
(30,2772)
(31,2498)
(32,2291)
(33,2216)
(34,2058)
(35,1950)
(36,1846)
(37,1715)
(38,1627)
(39,1593)
(40,1358)
(41,1383)
(42,1272)
(43,1175)
(44,1124)
(45,1092)
(46,1053)
(47,995)
(48,960)
(49,911)
(50,849)
(51,771)
(52,763)
(53,731)
(54,653)
(55,659)
(56,634)
(57,610)
(58,549)
(59,516)
(60,471)
(61,484)
(62,496)
(63,491)
(64,447)
(65,407)
(66,392)
(67,414)
(68,343)
(69,351)
(70,335)
(71,283)
(72,328)
(73,316)
(74,295)
(75,277)
(76,255)
(77,260)
(78,240)
(79,242)
(80,233)
(81,210)
(82,216)
(83,230)
(84,179)
(85,208)
(86,171)
(87,173)
(88,176)
(89,161)
(90,147)
(91,148)
(92,159)
(93,145)
(94,129)
(95,129)
(96,112)
(97,102)
(98,131)
(99,110)
(100,110)
(101,112)
(102,122)
(103,93)
(104,98)
(105,93)
(106,93)
(107,105)
(108,90)
(109,82)
(110,92)
(111,85)
(112,84)
(113,82)
(114,65)
(115,75)
(116,68)
(117,77)
(118,70)
(119,62)
(120,59)
(121,48)
(122,61)
(123,55)
(124,53)
(125,52)
(126,46)
(127,41)
(128,51)
(129,52)
(130,47)
(131,34)
(132,40)
(133,50)
(134,46)
(135,35)
(136,29)
(137,35)
(138,28)
(139,36)
(140,40)
(141,31)
(142,31)
(143,30)
(144,26)
(145,22)
(146,27)
(147,29)
(148,33)
(149,28)
(150,33)
(151,29)
(152,31)
(153,28)
(154,32)
(155,23)
(156,22)
(157,20)
(158,14)
(159,18)
(160,14)
(161,25)
(162,24)
(163,19)
(164,17)
(165,23)
(166,20)
(167,23)
(168,12)
(169,15)
(170,20)
(171,17)
(172,13)
(173,13)
(174,18)
(175,16)
(176,17)
(177,16)
(178,12)
(179,14)
(180,14)
(181,8)
(182,17)
(183,19)
(184,15)
(185,15)
(186,12)
(187,17)
(188,13)
(189,8)
(190,13)
(191,7)
(192,11)
(193,11)
(194,14)
(195,10)
(196,12)
(197,7)
(198,10)
(199,12)
(200,8)
(201,7)
(202,8)
(203,8)
(204,3)
(205,5)
(206,4)
(207,11)
(208,7)
(209,4)
(210,8)
(211,11)
(212,13)
(213,7)
(214,8)
(215,9)
(216,8)
(217,8)
(218,7)
(219,6)
(220,7)
(221,8)
(222,8)
(223,4)
(224,3)
(225,4)
(226,5)
(227,2)
(228,4)
(229,8)
(230,8)
(231,3)
(232,8)
(233,7)
(234,6)
(235,10)
(236,8)
(237,4)
(238,3)
(239,4)
(240,4)
(241,4)
(242,5)
(243,4)
(244,2)
(245,4)
(246,3)
(247,4)
(248,3)
(249,5)
(250,7)
(251,3)
(252,4)
(253,1)
(254,5)
(255,5)
(256,1)
(257,1)
(258,5)
(259,3)
(260,3)
(261,2)
(262,3)
(263,4)
(264,1)
(265,5)
(266,4)
(267,2)
(268,3)
(269,5)
(270,2)
(271,3)
(272,4)
(273,1)
(274,2)
(275,3)
(276,2)
(277,2)
(278,1)
(279,4)
(280,1)
(281,1)
(282,2)
(283,2)
(284,2)
(285,5)
(286,1)
(287,1)
(288,1)
(289,2)
(290,1)
(292,1)
(293,3)
(294,1)
(295,2)
(297,3)
(298,2)
(299,2)
(300,2)
(301,1)
(305,1)
(308,3)
(309,3)
(310,1)
(314,2)
(319,1)
(320,1)
(322,1)
(323,3)
(324,2)
(325,2)
(326,1)
(327,2)
(328,2)
(332,4)
(334,2)
(335,2)
(336,2)
(337,1)
(338,3)
(339,1)
(340,5)
(341,2)
(343,2)
(346,1)
(347,1)
(351,2)
(356,1)
(357,1)
(358,2)
(360,1)
(362,1)
(363,2)
(368,2)
(370,1)
(371,3)
(374,1)
(375,1)
(376,1)
(377,1)
(380,1)
(383,1)
(388,1)
(389,2)
(392,1)
(393,2)
(395,1)
(396,1)
(397,1)
(398,1)
(399,1)
(400,1)
(402,1)
(403,1)
(405,1)
(406,1)
(407,1)
(413,1)
(416,1)
(419,2)
(421,1)
(422,2)
(425,1)
(427,1)
(428,1)
(439,1)
(441,1)
(454,1)
(456,1)
(462,1)
(466,1)
(477,1)
(480,1)
(483,1)
(484,2)
(488,1)
(499,1)
(500,1)
(504,1)
(505,1)
(506,1)
(519,1)
(522,1)
(523,1)
(529,1)
(548,1)
(569,1)
(570,1)
(581,1)
(615,1)
(638,1)
(649,1)
(674,1)
(702,1)
(718,1)
(720,1)
(742,1)
(765,1)
(774,1)
(826,1)
(955,1)
(998,1)
(1440,1)
(1482,1)
(2627,1)
(3637,1)
(14065,1)
(30073,1)
